altitude,azimuth,power
-68.12190652291338,30.03292584637711,1
-60.49170609382493,56.920563728711144,0
-50.47420879862102,73.79710091779494,0
-39.63415107394926,85.9314345233742,0
-28.62102624416389,95.99753803932784,0
-17.79170783542948,105.31661350977872,0
-7.43112875468691,114.66804829792133,49
2.157473347565479,124.61371907433083,576
10.603095481992066,135.60707334800583,1926
17.4435843348903,147.972151930813,3271
22.15067091014265,161.76840793280294,4082
24.24057979929733,176.61263433938655,4245
23.456841043057565,191.675822107938,3643
19.89903885953341,206.02240268231236,2344
13.97022049196862,219.04886291228559,1093
6.197876543336997,230.6337457169092,101
-2.9179947713482957,241.00486912482543,0
-12.965430430050038,250.56774023808094,0
-23.61483460275211,259.83127355842925,0
-34.58072114224154,269.4548634659762,0
-45.55517498540429,280.4564534282513,1
-56.06662088821339,294.755872683957,1
-65.08913306672545,316.36311368888664,1
-70.13393645671822,350.7244371359992,0
-68.08778679372095,29.67964608041592,0
-60.499746781622754,56.64731878844766,0
-50.50080998310998,73.5901853174827,0
-39.66699446885715,85.76225705809851,0
-28.653474203086052,95.84866323503283,0
-17.81931004424358,105.17772813277892,0
-7.450130605892581,114.53263006799152,26
2.1507977224263914,124.4776332015887,390
10.61266230632894,135.46845951733664,1059
17.473235649642827,147.83223538210927,1346
22.203249122445555,161.6324977317808,1468
24.316518441186144,176.48950205982436,1467
23.55333521090003,191.57402136788608,1318
20.010927588818767,205.94592781671574,666
14.091989579838426,218.99634735928294,319
6.325134599632337,230.6009184105032,64
-2.78814405298089,240.9870555310413,29
-12.834638197486333,250.56094835136795,29
-23.483874822573007,259.8321171449537,29
-34.44979244646106,269.45957311292784,29
-45.42421512562689,280.4581098114413,29
-55.93620374682132,294.735722760479,29
-64.96472885067543,316.26403129034964,29
-70.04001601225806,350.44464700795993,0
-68.04640390812483,29.32195797754136,0
-60.50158454039603,56.36525713408059,0
-50.52198478632645,73.37497893387255,0
-39.694759843107654,85.58591936753032,0
-28.6809129958288,95.69358378041672,0
-17.84179138831491,105.03339255629872,0
-7.463775133820268,114.39240367729104,3
2.1498022100301353,124.33737777376126,378
10.62827707993855,135.3264356682884,1348
17.509285989964205,147.68992232417003,2339
22.262468316431672,161.49555092539333,3729
24.39912527709737,176.36698963621993,3994
23.656248752479414,191.47454589986538,2841
20.12874716879657,205.87322567826618,1809
14.21907408387218,218.9486509832186,975
6.457083280953101,230.57361939376077,126
-2.6541575355489964,240.97529913171127,29
-12.70015150599274,250.5607208200982,29
-23.349520012321918,259.8401499442491,29
-34.315590338305725,269.472353819375,29
-45.28985544869379,280.4691387443331,29
-55.80186334771901,294.72679522161206,29
-64.83520601390032,316.17790497608803,29
-69.93917679699895,350.17381911526587,1
-67.99772381323648,28.960535243443275,1
-60.497136637195226,56.0747554460055,1
-50.5376475485846,73.15169950138173,1
-39.71736901508658,85.4025751366566,0
-28.70327402342034,95.53242502745186,0
-17.859093624594323,104.8837184552402,0
-7.472015185410913,114.24747386636598,0
2.1545220347105563,124.19305367179254,81
10.649962311414019,135.18109979472177,466
17.55174463645763,147.5453078240679,725
22.32832431864266,161.35765996859212,1111
24.48838236055722,176.24518805107078,1366
23.765549407987784,191.37748485197227,1514
20.252451198984332,205.8043794204161,1316
14.351415294425271,218.90584523898053,709
6.593654679555909,230.55190471565595,118
-2.5161089909540983,240.96963948361915,29
-12.562047147330727,250.56708085599823,29
-23.211847864141962,259.85537867012744,29
-34.178192087917196,269.49319421251454,29
-45.15217258159165,280.48950732958036,29
-55.66367763686494,294.72903633555745,29
-64.70064827214232,316.1047283965354,29
-69.83148309949568,349.9123747875879,0
-67.94171737467705,28.596061619542922,0
-60.48632280924286,55.77621032911772,0
-50.54771399232158,72.9205785054939,0
-39.734745012112846,85.21238738064903,0
-28.720490003767917,95.3653190706613,0
-17.871160000448207,104.72882263627956,0
-7.474805258879309,114.09794940887971,4
2.1649906601607953,124.04476499534314,187
10.677738714695973,135.03255249502922,857
17.600619121323657,147.3984891430389,1276
22.400811303095608,161.21891931732284,1507
24.58427017394727,176.12419022525808,1590
23.881203375797565,191.28292908320927,1428
20.38199176686633,205.7394732829133,1089
14.488953112933883,218.8680017228411,575
6.73477975482354,230.5358295619618,103
-2.3740729562302563,240.97011438242225,29
-12.420402237509489,250.58004911466983,29
-23.070935908481744,259.87780669231785,29
-34.037674287437206,269.5220785979201,29
-45.01124194638144,280.51917674321936,29
-55.52172293007254,294.74238294244196,29
-64.56113807932296,316.04447609579773,29
-69.7170017027615,349.66070427671133,1
-67.87836050098537,28.229228675320343,1
-60.469065508025544,55.470037823479245,1
-50.5521014058493,72.68186118845752,1
-39.74681220483971,85.01552851673571,0
-28.732495073586623,95.19240483553585,0
-17.877935332381277,104.56882714653216,0
-7.472101564358495,113.94394324888209,4
2.18123974348778,123.89261925102309,170
10.711625175033294,134.88089723421672,645
17.655915203674798,147.24956608166787,1331
22.47992177376122,161.0794258667986,2171
24.686767616378134,176.00409152497235,2631
24.00317530483925,191.19097170507482,3237
20.517319446075263,205.6785931098077,2584
14.63162605875046,218.83519264467722,1357
6.880388350323985,230.52544869603935,184
-2.2281247072685932,240.97676028845768,30
-12.275294184101334,250.59964414153205,29
-22.926861478455518,259.90743453891037,29
-33.89411281569806,269.55898756940553,29
-44.867137727088604,280.5581030623108,29
-55.376073876047656,294.76676373365046,29
-64.4167565361889,315.99710565217833,29
-69.59580166326907,349.41916776091944,0
-67.8076342468534,27.860733942620072,0
-60.44529014102564,55.1566730997326,0
-50.550728829949314,72.43580670771964,0
